pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,aqi,aqi_bucket,year,month,day,day_of_week,week_of_year,pm_ratio,nox_total
72.47,133.3,24.06,64.64,69.35,30.43,1.24,27.7,70.45,1.92,5.0,186.0,Moderate,2016,3,18,4,11,0.5396128071481757,88.7
103.73,194.95,67.6,77.89,131.48,38.99,2.2,30.74,56.49,3.3,10.69,242.0,Poor,2016,3,19,5,11,0.5293697371778515,145.49
95.52,167.64,55.13,57.84,99.81,52.94,1.56,20.52,97.74,4.21,13.34,267.0,Poor,2016,3,20,6,11,0.5664136622390892,112.97
58.4,129.21,12.64,36.37,45.3,33.75,1.14,15.98,65.16,3.13,6.75,207.0,Poor,2016,3,21,0,12,0.44850625911988323,49.01
47.43,139.62,5.98,31.12,32.05,21.64,0.96,13.54,70.69,2.41,4.66,176.0,Moderate,2016,3,22,1,12,0.33729199260418147,37.1
80.01,148.1,34.57,50.45,67.93,27.0,1.29,22.15,84.89,3.3,6.61,189.0,Moderate,2016,3,23,2,12,0.5366197183098592,85.02000000000001
156.01,228.19,85.62,88.44,138.71,39.36,2.18,24.44,169.36,4.06,10.5,341.0,Very Poor,2016,3,24,3,12,0.6807016012915048,174.06
137.99,217.03,47.16,85.91,112.34,44.01,2.1,32.84,142.38,4.46,10.03,325.0,Very Poor,2016,3,25,4,12,0.6328945557950741,133.07
72.44,122.24,12.75,42.51,48.36,37.72,1.1,23.86,66.2,2.52,6.11,259.0,Poor,2016,3,26,5,12,0.5877961700746511,55.26
61.75,54.0,6.56,37.18,36.21,28.36,0.74,18.09,66.87,1.6,3.56,178.0,Moderate,2016,3,27,6,12,1.1227272727272728,43.74
81.46,110.31,21.37,53.01,67.76,27.83,1.04,25.75,77.27,3.49,7.83,219.0,Poor,2016,3,28,0,13,0.7318300242565806,74.38
89.75,156.89,18.61,48.72,62.06,29.91,1.28,42.34,67.87,4.29,8.11,206.0,Poor,2016,3,29,1,13,0.5684337196782571,67.33
88.68,163.7,28.13,46.74,64.38,27.39,1.35,36.91,47.01,4.1,8.45,221.0,Poor,2016,3,30,2,13,0.5384335154826959,74.87
127.86,218.3,93.5,61.21,117.28,34.59,2.2,19.64,62.15,3.73,11.76,298.0,Poor,2016,3,31,3,13,0.5830369357045143,154.71
130.7,216.73000000000002,5.58,15.89,20.05,38.04,1.39,12.78,29.69,2.3,5.74,316.0,Very Poor,2016,4,1,4,13,0.6002847563496072,21.47
118.44,216.73000000000002,16.79,18.29,30.66,38.04,1.88,16.35,29.38,4.26,9.87,294.0,Poor,2016,4,2,5,13,0.5439764846369356,35.08
148.22,217.84,63.75,44.98,91.09,62.22,1.68,27.44,69.66,6.9,17.57,314.0,Very Poor,2016,4,3,6,13,0.6772984829098885,108.72999999999999
132.86,377.61,54.82,31.55,70.95,59.55,1.51,20.54,63.44,8.27,15.68,334.0,Very Poor,2016,4,4,0,14,0.3509151897731175,86.37
97.83,174.11,7.16,20.15,26.39,24.26,1.38,18.86,28.8,3.23,6.9,261.0,Poor,2016,4,5,1,14,0.5586774027753982,27.31
91.82,202.91,24.61,52.54,64.76,32.31,1.4,31.06,37.04,4.94,17.96,208.0,Poor,2016,4,6,2,14,0.4502966995242999,77.15
129.61,329.68,54.59,58.6,98.07,48.67,1.22,35.57,32.33,8.56,23.17,289.0,Poor,2016,4,7,3,14,0.3919499213741382,113.19
89.78,193.14,24.3,53.55,75.27,31.01,1.52,48.86,34.75,7.42,18.35,216.0,Poor,2016,4,8,4,14,0.4624497785103534,77.85
166.76,272.67,65.1,63.03,122.4,35.12,1.51,46.97,47.93,12.58,21.16,314.0,Very Poor,2016,4,9,5,14,0.6093470237877735,128.13
107.81,154.18,35.14,47.95,82.5,33.72,1.77,35.24,31.6,6.63,12.59,262.0,Poor,2016,4,10,6,14,0.6947415904111355,83.09
81.12,246.86,13.25,36.5,47.89,31.62,0.72,22.66,61.02,4.87,8.42,257.0,Poor,2016,4,11,0,15,0.327281529895909,49.75
74.03,201.81,13.94,35.44,48.38,23.32,0.71,17.85,58.47,3.54,6.19,235.0,Poor,2016,4,12,1,15,0.3650214486465164,49.379999999999995
74.9,247.61,25.64,46.29,70.06,22.7,1.11,25.16,58.74,3.5,6.9,239.0,Poor,2016,4,13,2,15,0.3012750894976067,71.93
94.81,220.48,39.07,58.81,78.15,22.82,1.32,26.21,75.75,4.53,9.5,239.0,Poor,2016,4,14,3,15,0.42807476973090125,97.88
137.48,285.18,88.96,76.2,133.09,34.25,1.98,37.57,85.91,7.75,19.19,302.0,Very Poor,2016,4,15,4,15,0.4803969529666643,165.16
124.13,216.73000000000002,36.76,37.49,54.07,17.79,1.88,14.84,35.97,3.55,10.0,296.0,Poor,2016,4,16,5,15,0.5701097689799292,74.25
102.86,283.02,30.63,42.35,61.61,21.22,1.04,13.34,66.77,2.91,7.11,247.0,Poor,2016,4,17,6,15,0.3621575945355961,72.98
102.9,219.17,33.28,49.32,78.86,28.33,0.98,22.15,81.29,4.76,9.28,265.0,Poor,2016,4,18,0,16,0.46736612617522827,82.6
129.06,311.93,35.74,63.21,99.16,28.32,1.52,35.73,98.35,6.73,17.39,301.0,Very Poor,2016,4,19,1,16,0.41242450388265744,98.95
124.8,283.05,22.33,48.65,66.43,25.14,1.09,29.16,97.22,5.51,9.32,322.0,Very Poor,2016,4,20,2,16,0.43935926773455375,70.97999999999999
92.74,265.56,13.43,42.87,50.67,20.52,0.88,19.87,103.07,2.82,5.38,291.0,Poor,2016,4,21,3,16,0.3479141656662665,56.3
113.75,208.42,9.87,44.8,46.72,20.0,0.93,25.63,110.09,1.91,4.27,292.0,Poor,2016,4,22,4,16,0.5431668417534142,54.669999999999995
89.52,171.92,18.15,50.78,56.56,20.6,1.51,25.65,87.26,1.88,4.73,258.0,Poor,2016,4,23,5,16,0.5176960444136017,68.93
123.59,219.3,57.65,69.92,102.52,22.0,1.7,40.96,87.66,3.33,9.01,282.0,Poor,2016,4,24,6,16,0.5610077167498865,127.57
104.5,213.36,31.14,70.04,91.82,23.14,1.47,39.91,87.38,3.17,10.97,271.0,Poor,2016,4,25,0,17,0.48749766747527523,101.18
139.37,306.08,71.92,97.93,118.98,29.38,2.08,38.53,86.82,5.89,17.43,314.0,Very Poor,2016,4,26,1,17,0.45385567278884986,169.85000000000002
162.54,379.7,154.33,108.53,168.05,39.52,2.7,33.53,87.74,9.46,31.19,377.0,Very Poor,2016,4,27,2,17,0.4269503546099291,262.86
161.23,354.17,72.12,80.4,126.06,37.83,2.08,35.7,117.59,6.68,18.75,390.0,Very Poor,2016,4,28,3,17,0.4539516287974772,152.52
181.49,383.05,62.82,88.26,117.82,32.04,2.14,38.0,56.3,5.69,13.15,392.0,Very Poor,2016,4,29,4,17,0.4725686759536519,151.08
142.64,216.73000000000002,30.09,51.53,56.14,16.95,1.82,13.83,59.71,3.38,9.22,342.0,Very Poor,2016,4,30,5,17,0.6551233178707573,81.62
124.21,216.73000000000002,52.27,52.3,74.64,17.35,1.9,10.98,74.25,4.16,11.72,297.0,Poor,2016,5,1,6,17,0.5704771965278096,104.57
119.47,216.73000000000002,21.08,41.26,43.36,13.81,1.49,10.0,70.42,2.77,7.29,275.0,Poor,2016,5,2,0,18,0.5487071143158958,62.339999999999996
125.36,284.55,10.0,59.73,52.11,31.89,1.49,21.42,101.53,3.23,8.74,281.0,Poor,2016,5,3,1,18,0.43901243214848534,69.72999999999999
103.08,297.94,18.52,61.77,72.09,49.53,1.44,26.13,91.18,4.3,12.28,309.0,Very Poor,2016,5,4,2,18,0.34481835819896967,80.29
65.02,173.86,11.94,46.27,53.02,44.78,1.14,18.35,79.9,2.75,11.56,262.0,Poor,2016,5,5,3,18,0.3718403294063822,58.21
54.34,136.92,21.0,55.07,71.12,35.93,1.12,20.23,65.26,4.02,12.46,194.0,Moderate,2016,5,6,4,18,0.3939965197215778,76.07
77.89,193.14,15.3,66.68,70.75,39.63,0.98,20.15,75.61,4.69,10.97,229.0,Poor,2016,5,7,5,18,0.4012053157515196,81.98
90.19,208.75,7.73,64.2,59.4,45.99,1.1,25.25,81.61,4.6,10.54,246.0,Poor,2016,5,8,6,18,0.4299880810488677,71.93
77.34,168.66,3.71,48.67,43.92,51.11,1.04,18.97,79.06,3.04,6.31,225.0,Poor,2016,5,9,0,19,0.4558528822350584,52.38
73.55,174.94,5.87,57.52,54.56,43.66,1.05,22.26,68.57,3.71,14.27,221.0,Poor,2016,5,10,1,19,0.418040240991247,63.39
66.49,112.6,6.74,52.3,50.94,53.04,0.98,16.32,61.02,2.99,12.34,185.0,Moderate,2016,5,11,2,19,0.5852992957746479,59.04
100.09,207.98,14.69,64.25,67.9,66.64,1.34,17.95,76.43,4.2,14.3,218.0,Poor,2016,5,12,3,19,0.47894535362235624,78.94
99.88,250.51,37.0,60.29,80.62,56.26,1.1,16.54,95.52,5.83,18.17,310.0,Very Poor,2016,5,13,4,19,0.39712138682358555,97.28999999999999
105.51,292.64,46.21,67.71,78.61,52.87,1.44,20.49,86.22,6.12,19.79,307.0,Very Poor,2016,5,14,5,19,0.35931753167143443,113.91999999999999
128.85,379.8,50.68,57.06,64.22,46.77,1.83,18.7,56.63,6.57,17.73,325.0,Very Poor,2016,5,15,6,19,0.3383665966386554,107.74000000000001
94.89,247.95,37.68,58.46,85.72,31.0,1.12,21.19,62.4,4.32,10.12,316.0,Very Poor,2016,5,16,0,20,0.38116087567784696,96.14
92.95,249.27,32.62,62.4,98.0,29.12,1.19,27.34,89.66,4.72,9.81,302.0,Very Poor,2016,5,17,1,20,0.37139888919966435,95.02
117.64,266.72,52.8,80.57,118.39,26.39,1.76,31.96,105.42,5.44,13.84,318.0,Very Poor,2016,5,18,2,20,0.43941431346182575,133.37
94.22,219.01,11.17,67.73,74.26,43.64,1.86,27.98,85.76,3.74,9.37,300.0,Poor,2016,5,19,3,20,0.4282532612153993,78.9
70.86,186.97,7.21,52.02,55.3,57.83,1.07,12.82,77.8,2.58,8.41,246.0,Poor,2016,5,20,4,20,0.3769750492099803,59.230000000000004
78.02,233.72,4.48,48.23,45.61,55.28,0.96,13.08,107.9,1.88,4.19,255.0,Poor,2016,5,21,5,20,0.33239604635310155,52.709999999999994
66.3,149.31,4.99,53.42,50.1,46.09,0.99,15.3,101.65,1.16,2.82,218.0,Poor,2016,5,22,6,20,0.4410884172709733,58.410000000000004
87.31,163.9,5.25,45.86,47.55,40.22,0.79,16.69,93.48,0.87,2.5,252.0,Poor,2016,5,23,0,21,0.5294724075197089,51.11
57.35,103.26,12.6,43.57,53.77,36.69,0.89,13.46,75.38,0.99,3.18,190.0,Moderate,2016,5,24,1,21,0.550067139842701,56.17
105.02,240.52,14.64,50.77,61.13,48.53,1.48,13.98,126.55,1.86,5.87,256.0,Poor,2016,5,25,2,21,0.43482941371315004,65.41
111.22,293.73,22.75,48.12,58.91,42.29,1.06,11.79,160.06,1.57,5.7,311.0,Very Poor,2016,5,26,3,21,0.37736233162555555,70.87
180.71,379.29,25.71,50.38,65.02,43.19,1.29,13.73,169.35,2.65,8.03,381.0,Very Poor,2016,5,27,4,21,0.47518998658918193,76.09
109.82,314.0,8.63,34.37,35.37,29.71,0.96,15.48,120.76,1.62,8.72,409.0,Severe,2016,5,28,5,21,0.34863492063492063,43.0
42.67,169.36,3.57,35.71,22.06,30.46,0.87,10.6,101.26,0.66,1.44,269.0,Poor,2016,5,29,6,21,0.2504695938013618,39.28
56.87,101.24,21.03,50.18,64.65,39.34,1.39,11.3,73.43,2.4,9.91,187.0,Moderate,2016,5,30,0,22,0.5562402190923318,71.21000000000001
101.54,214.14,31.68,49.41,78.79,47.17,1.29,9.15,83.4,4.76,18.77,225.0,Poor,2016,5,31,1,22,0.47197173933252773,81.09
76.56,251.87,17.71,44.55,57.7,37.91,1.04,13.11,86.34,4.57,10.9,283.0,Poor,2016,6,1,2,22,0.30276426622375135,62.26
81.4,298.5,26.72,49.88,73.71,37.86,1.3,13.87,94.77,4.72,10.98,316.0,Very Poor,2016,6,2,3,22,0.2717863105175292,76.6
138.97,296.64,53.59,74.99,108.21,44.94,1.7,21.41,129.18,8.08,24.79,361.0,Very Poor,2016,6,3,4,22,0.4669063297943825,128.57999999999998
137.81,274.63,26.48,75.26,92.33,47.59,1.48,15.4,115.31,5.88,20.24,330.0,Very Poor,2016,6,4,5,22,0.4999818597395059,101.74000000000001
77.72,166.28,4.05,36.69,33.03,51.64,0.99,11.7,78.8,2.31,10.45,256.0,Poor,2016,6,5,6,22,0.4646102343376375,40.739999999999995
84.61,208.17,8.11,45.47,45.71,35.52,1.48,14.68,100.24,2.73,12.57,237.0,Poor,2016,6,6,0,23,0.4045035138882249,53.58
66.72,152.18,8.77,45.5,52.2,33.33,1.77,15.9,82.33,3.28,16.6,246.0,Poor,2016,6,7,1,23,0.4355660007833921,54.269999999999996
64.08,143.88,7.96,57.31,61.05,32.67,1.45,19.95,79.75,4.35,16.88,202.0,Poor,2016,6,8,2,23,0.44229707344008834,65.27
64.95,187.69,15.09,49.67,63.99,35.28,1.75,15.09,84.94,4.18,13.88,209.0,Poor,2016,6,9,3,23,0.3442153797233558,64.76
75.75,239.74,20.49,51.75,71.2,30.18,3.84,18.14,92.8,4.58,15.79,262.0,Poor,2016,6,10,4,23,0.3146548143225056,72.24
69.25,225.52,15.79,38.84,53.11,37.83,3.61,9.83,68.93,4.66,13.22,280.0,Poor,2016,6,11,5,23,0.3057125198657955,54.63
70.71,272.34,19.62,40.04,59.25,33.33,2.59,9.78,70.91,3.45,10.63,279.0,Poor,2016,6,12,6,23,0.2586888124679886,59.66
96.72,332.91,20.53,34.52,56.84,34.24,3.24,10.14,98.09,4.68,8.25,357.0,Very Poor,2016,6,13,0,24,0.2896588901200922,55.050000000000004
59.02,197.51,27.2,38.55,68.18,38.65,3.44,8.29,57.42,6.15,9.97,266.0,Poor,2016,6,14,1,24,0.2973149967256058,65.75
102.42,330.36,18.12,37.74,55.24,42.47,1.59,11.23,65.24,4.53,17.16,330.0,Very Poor,2016,6,15,2,24,0.30908981168517624,55.86
62.37,109.42,7.69,30.44,32.88,34.5,2.49,9.89,56.97,2.66,9.95,248.0,Poor,2016,6,16,3,24,0.5648433254845137,38.13
67.76,120.06,16.21,41.27,52.49,32.53,1.87,10.43,59.25,2.66,10.79,172.0,Moderate,2016,6,17,4,24,0.5597224516768545,57.480000000000004
79.17,142.57,7.3,33.98,35.75,33.32,1.94,8.64,68.32,2.64,9.0,234.0,Poor,2016,6,18,5,24,0.5514383227693809,41.279999999999994
101.31,101.54,7.47,32.55,34.9,34.93,2.64,9.51,56.24,2.99,6.88,201.0,Poor,2016,6,19,6,24,0.9880046811000585,40.019999999999996
83.1,84.18,11.99,40.24,47.72,34.93,2.11,11.24,52.76,3.21,9.95,206.0,Poor,2016,6,20,0,25,0.9755811223291851,52.230000000000004
72.33,54.85,6.49,32.04,32.95,35.69,2.49,10.54,43.4,2.81,6.77,159.0,Moderate,2016,6,21,1,25,1.2950760966875559,38.53
75.14,99.89,9.12,31.89,37.74,31.53,3.73,7.88,51.74,3.39,9.43,187.0,Moderate,2016,6,22,2,25,0.7447715333531569,41.01
91.63,98.88,10.88,37.7,44.63,28.31,2.11,8.34,55.92,3.55,10.1,228.0,Poor,2016,6,23,3,25,0.9174008810572687,48.580000000000005
100.02,331.1,15.97,45.29,60.69,33.1,2.02,9.03,101.3,3.84,12.19,284.0,Poor,2016,6,24,4,25,0.3011743450767841,61.26
67.12,175.26,4.67,50.91,51.52,43.4,1.09,10.87,79.26,2.77,10.31,310.0,Very Poor,2016,6,25,5,25,0.3808010892998979,55.58
48.0,86.63,4.54,40.57,42.04,39.05,0.85,8.71,58.37,2.99,9.68,158.0,Moderate,2016,6,26,6,25,0.547757617254365,45.11
76.76,112.46,5.66,37.28,37.28,39.39,1.71,7.63,51.76,2.29,9.34,154.0,Moderate,2016,6,27,0,26,0.6765379869557554,42.94
80.89,96.05,12.43,40.07,49.02,35.05,3.0,9.77,55.61,2.91,14.57,187.0,Moderate,2016,6,28,1,26,0.8334878928387429,52.5
60.67,68.43,7.96,37.01,39.52,33.03,2.08,10.22,44.44,2.51,9.39,180.0,Moderate,2016,6,29,2,26,0.8738297565893706,44.97
69.65,103.25,9.49,34.17,39.9,31.42,2.39,9.43,51.31,2.96,9.9,190.0,Moderate,2016,6,30,3,26,0.6681055155875301,43.660000000000004
58.21,113.1,12.65,29.28,40.04,42.08,2.23,7.97,37.35,3.0,8.64,164.0,Moderate,2016,7,1,4,26,0.5101665205959685,41.93
57.24,96.62,15.31,33.9,48.12,36.91,2.93,7.81,40.49,3.18,12.52,148.0,Moderate,2016,7,2,5,26,0.5863552550706822,49.21
67.6,95.26,10.6,36.79,41.59,35.43,2.78,8.77,48.9,2.96,13.77,154.0,Moderate,2016,7,3,6,26,0.7022646997714522,47.39
57.1,75.83,14.67,37.93,50.05,35.38,1.72,8.88,52.3,2.79,9.43,160.0,Moderate,2016,7,4,0,27,0.7431992711180528,52.6
68.71,162.2,21.67,47.24,67.91,42.46,2.22,8.51,55.57,3.29,11.92,165.0,Moderate,2016,7,5,1,27,0.4210171568627451,68.91
77.71,143.29,11.31,34.78,43.72,52.72,2.64,7.6,57.81,3.05,8.64,210.0,Poor,2016,7,6,2,27,0.5385681613417423,46.09
54.5,80.82,6.51,27.69,29.77,37.18,2.18,8.73,42.67,2.53,6.88,158.0,Moderate,2016,7,7,3,27,0.6660963089709118,34.2
54.96,98.86,14.06,42.07,51.85,40.9,1.58,8.38,45.55,3.06,10.18,172.0,Moderate,2016,7,8,4,27,0.5503705187262167,56.13
52.95,87.81,13.01,30.77,41.97,40.31,1.96,7.73,45.1,2.59,9.41,151.0,Moderate,2016,7,9,5,27,0.5962166422700147,43.78
59.13,86.18,12.96,35.91,46.19,37.92,1.72,7.94,43.24,2.95,10.42,143.0,Moderate,2016,7,10,6,27,0.6782518926359257,48.87
60.92,74.51,13.86,33.57,45.91,38.15,1.08,7.74,42.22,3.58,8.87,156.0,Moderate,2016,7,11,0,28,0.8067805588663752,47.43
39.32,57.16,24.89,32.55,58.24,33.66,2.36,9.06,43.95,3.21,18.14,108.0,Moderate,2016,7,12,1,28,0.6760660247592848,57.44
71.53,79.1,29.55,31.96,57.77,43.92,1.82,8.23,50.01,3.75,17.84,163.0,Moderate,2016,7,13,2,28,0.8930087390761549,61.510000000000005
73.51,56.29,31.24,29.7,54.28,61.03,5.0,7.39,47.3,3.87,13.39,247.0,Poor,2016,7,14,3,28,1.283120963518939,60.94
52.88,88.23,24.44,29.17,46.93,38.79,4.65,6.58,36.35,2.84,8.34,123.0,Moderate,2016,7,15,4,28,0.5926257984982629,53.61
50.99,44.48,14.85,22.38,37.7,40.89,1.21,7.18,33.31,3.47,5.86,106.0,Moderate,2016,7,16,5,28,1.1211521547933159,37.23
75.93,38.59,14.17,15.75,29.63,33.83,2.48,7.0,28.11,3.43,5.89,202.0,Poor,2016,7,17,6,28,1.9179085627683758,29.92
44.08,77.07,24.72,32.85,54.62,51.53,1.47,7.31,36.73,4.26,10.89,120.0,Moderate,2016,7,18,0,29,0.5646214935314462,57.57
42.14,166.27,20.73,31.4,48.11,55.76,1.31,6.78,44.7,4.26,9.89,135.0,Moderate,2016,7,19,1,29,0.2519280205655527,52.129999999999995
56.86,203.09,24.36,34.96,60.14,31.06,1.16,9.36,61.07,2.37,7.57,245.0,Poor,2016,7,20,2,29,0.2786025772943309,59.32
45.64,240.86,32.54,37.8,79.06,32.92,0.87,7.27,56.3,2.34,6.11,280.0,Poor,2016,7,21,3,29,0.18870420904655585,70.34
48.36,157.41,20.2,37.42,58.72,37.84,1.14,8.63,64.4,1.91,11.74,269.0,Poor,2016,7,22,4,29,0.30528375733855184,57.620000000000005
42.09,80.14,8.85,23.88,28.63,35.77,0.84,7.23,51.32,1.96,5.07,163.0,Moderate,2016,7,23,5,29,0.518733053980774,32.73
59.4,124.47,15.95,56.56,69.2,38.44,1.45,8.91,65.42,2.97,9.41,257.0,Poor,2016,7,24,6,29,0.47341994102175816,72.51
76.29,163.57,19.52,58.4,73.04,45.77,1.32,7.93,62.62,3.39,12.4,195.0,Moderate,2016,7,25,0,30,0.4635717323935104,77.92
54.5,95.08,11.64,40.48,50.72,48.6,1.08,8.2,52.3,2.91,10.16,163.0,Moderate,2016,7,26,1,30,0.5672356369691923,52.12
40.55,58.09,25.41,40.86,65.28,42.48,1.36,10.82,56.73,4.88,14.13,108.0,Moderate,2016,7,27,2,30,0.6862413267896428,66.27
46.44,68.69,27.67,42.81,68.89,40.28,1.34,9.95,72.25,4.81,18.68,134.0,Moderate,2016,7,28,3,30,0.6663796814464055,70.48
56.16,76.89,38.7,44.18,82.68,41.18,1.76,9.87,70.34,5.25,20.12,155.0,Moderate,2016,7,29,4,30,0.7210168185903196,82.88
42.7,50.0,29.68,36.78,68.62,36.4,1.55,8.69,49.28,4.77,16.89,116.0,Moderate,2016,7,30,5,30,0.8372549019607843,66.46000000000001
48.03,70.62,23.7,32.5,54.99,37.62,1.29,8.01,85.11,4.25,15.17,136.0,Moderate,2016,7,31,6,30,0.6706227310807037,56.2
43.47,53.42,17.15,29.86,48.93,35.28,1.29,10.33,68.03,3.55,14.22,150.0,Moderate,2016,8,1,0,31,0.798787210584344,47.01
43.55,55.33,24.58,34.87,56.3,34.99,2.69,8.23,91.54,2.99,19.32,121.0,Moderate,2016,8,2,1,31,0.7731226699804722,59.449999999999996
50.86,67.92,23.29,36.14,56.77,32.14,1.35,6.96,92.81,2.01,28.25,149.0,Moderate,2016,8,3,2,31,0.7379570516540916,59.43
49.04,87.48,17.77,35.93,53.75,32.45,0.92,9.03,86.42,2.26,20.91,178.0,Moderate,2016,8,4,3,31,0.554249547920434,53.7
39.3,78.77,11.79,33.68,42.56,32.81,1.2,9.36,63.17,2.26,12.08,120.0,Moderate,2016,8,5,4,31,0.4926664159458443,45.47
43.86,76.69,23.12,38.29,60.55,32.22,2.13,9.81,68.19,2.28,19.87,140.0,Moderate,2016,8,6,5,31,0.5645514223194749,61.41
42.84,75.19,15.7,31.42,42.34,28.89,2.48,10.02,67.17,2.02,14.34,142.0,Moderate,2016,8,7,6,31,0.5622785142407141,47.120000000000005
44.04,82.26,16.52,34.27,48.51,29.3,1.37,8.48,73.28,1.93,11.98,141.0,Moderate,2016,8,8,0,32,0.5289454720153735,50.790000000000006
41.29,64.76,16.97,29.05,43.48,27.23,2.93,8.02,59.76,1.78,10.33,125.0,Moderate,2016,8,9,1,32,0.6278892944038929,46.019999999999996
39.28,54.92,15.91,30.76,43.16,29.55,1.6,9.75,53.53,1.92,11.58,127.0,Moderate,2016,8,10,2,32,0.7024320457796852,46.67
30.66,32.79,18.9,29.78,46.0,24.79,2.22,8.37,54.64,1.55,8.33,119.0,Moderate,2016,8,11,3,32,0.9073690440958864,48.68
42.15,84.46,31.69,34.9,66.83,23.83,1.39,8.73,70.12,2.22,11.94,111.0,Moderate,2016,8,12,4,32,0.4932131991575006,66.59
56.45,92.71,30.9,43.49,73.1,31.35,1.53,7.77,68.22,2.92,11.82,132.0,Moderate,2016,8,13,5,32,0.6023903532173728,74.39
40.81,80.14,38.03,42.53,81.71,32.09,1.28,12.53,81.39,2.39,12.1,149.0,Moderate,2016,8,14,6,32,0.5029578506285433,80.56
39.51,185.99,30.79,32.96,65.3,27.89,2.15,8.87,91.79,1.43,4.52,166.0,Moderate,2016,8,15,0,33,0.21129472164286858,63.75
49.04,245.72,25.06,28.74,53.79,26.6,3.78,7.97,83.64,0.9,3.17,274.0,Poor,2016,8,16,1,33,0.19876783398184175,53.8
62.19,247.59,24.1,36.46,58.74,25.64,0.95,11.16,85.32,2.15,8.31,295.0,Poor,2016,8,17,2,33,0.25017096423830404,60.56
55.55,132.65,22.7,51.48,65.74,30.91,1.23,9.22,72.82,2.48,11.8,219.0,Poor,2016,8,18,3,33,0.41563786008230447,74.17999999999999
59.03,153.16,22.45,43.97,62.04,28.14,1.15,8.84,69.54,2.83,15.47,169.0,Moderate,2016,8,19,4,33,0.38291385573430203,66.42
48.57,90.68,10.1,35.84,41.77,26.51,1.59,8.56,59.67,1.48,12.22,174.0,Moderate,2016,8,20,5,33,0.5297774869109947,45.940000000000005
28.01,65.58,5.42,27.58,29.64,23.44,3.11,9.02,42.88,1.1,4.52,111.0,Moderate,2016,8,21,6,33,0.42069690597777115,33.0
28.6,78.83,8.46,31.31,33.5,23.44,2.59,7.97,43.07,1.45,6.72,93.0,Satisfactory,2016,8,22,0,34,0.35826130527370664,39.769999999999996
38.99,85.48,7.8,39.47,40.84,26.3,1.25,8.06,50.23,3.22,11.41,107.0,Moderate,2016,8,23,1,34,0.4508556891766883,47.269999999999996
43.35,73.22,11.04,32.04,37.18,22.95,1.17,10.86,48.2,3.11,12.66,127.0,Moderate,2016,8,24,2,34,0.5840743734842361,43.08
45.88,118.92,28.83,35.41,56.77,30.36,0.99,8.23,32.24,8.35,14.36,93.0,Satisfactory,2016,8,25,3,34,0.3825883922615077,64.24
54.13,125.44,44.27,35.61,79.24,39.87,1.0,9.57,41.9,7.06,23.65,142.0,Moderate,2016,8,26,4,34,0.4281081936096172,79.88
56.56,216.73000000000002,7.36,20.84,20.11,38.04,0.36,7.91,26.55,7.29,16.03,93.0,Satisfactory,2016,8,27,5,34,0.2597712763514444,28.2
57.09,170.2,12.69,28.7,38.71,31.55,1.67,7.04,27.7,4.97,13.2,224.0,Poor,2016,8,28,6,34,0.33346962616822434,41.39
54.73,189.12,19.0,37.48,52.4,29.89,1.1,8.92,40.47,5.01,17.09,169.0,Moderate,2016,8,29,0,35,0.28787081843046497,56.48
48.93,89.57,17.92,42.73,53.37,29.36,1.12,9.22,41.9,4.12,18.54,110.0,Moderate,2016,8,30,1,35,0.5402451142762504,60.65
37.1,60.16,21.97,41.82,59.5,28.42,2.07,8.72,41.57,2.64,16.6,100.0,Satisfactory,2016,8,31,2,35,0.6066056245912361,63.79
28.06,47.47,32.06,51.78,87.95,23.08,1.22,9.47,54.7,2.55,13.23,109.0,Moderate,2016,9,1,3,35,0.5789147926552507,83.84
44.31,111.18,35.83,41.71,84.99,26.32,0.98,9.37,64.8,2.63,10.27,154.0,Moderate,2016,9,2,4,35,0.3949901943305402,77.53999999999999
46.77,208.01,30.88,40.85,76.16,23.2,0.91,10.09,68.7,2.73,10.03,216.0,Poor,2016,9,3,5,35,0.22376919764604566,71.73
57.64,269.42,32.6,31.96,68.02,22.02,0.91,9.05,56.8,2.03,6.07,262.0,Poor,2016,9,4,6,35,0.2131499149471193,64.56
45.37,246.81,35.47,33.42,72.7,19.68,1.17,9.87,57.01,1.42,4.49,260.0,Poor,2016,9,5,0,36,0.1830838142125015,68.89
50.42,282.23,31.2,34.74,69.03,19.05,2.99,10.61,61.24,1.91,5.54,329.0,Very Poor,2016,9,6,1,36,0.17801786533912367,65.94
50.73,233.83,30.1,39.21,70.35,18.99,2.16,14.63,75.45,2.19,7.1,291.0,Poor,2016,9,7,2,36,0.2160286164459396,69.31
71.72,260.6,31.37,39.69,70.75,20.58,1.41,12.02,63.76,2.31,8.63,300.0,Poor,2016,9,8,3,36,0.2741590214067278,71.06
87.99,277.61,34.45,43.67,76.55,21.51,2.39,10.34,49.75,2.63,9.22,335.0,Very Poor,2016,9,9,4,36,0.3158178098417142,78.12
45.7,190.45,29.83,38.14,63.72,21.07,0.75,10.81,55.82,2.4,9.22,240.0,Poor,2016,9,10,5,36,0.23870462261687128,67.97
45.89,164.1,32.14,40.58,67.7,20.4,2.36,10.92,52.36,2.08,6.37,177.0,Moderate,2016,9,11,6,36,0.27795275590551183,72.72
